               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  12,            0.050294,             0.02341,            0.021435,             0.86627,             0.44592,             0.50962,              0.2983,            0.037626,            0.012984,            0.016353,           0.0097822,           0.0097822,           0.0097822
                  13,            0.050237,            0.023021,            0.020639,             0.89519,             0.44444,             0.53061,             0.30214,             0.03849,            0.012741,            0.015418,           0.0097624,           0.0097624,           0.0097624
                  14,            0.049918,            0.023252,            0.019929,             0.88594,             0.45267,             0.53459,              0.3167,            0.038326,            0.013527,            0.014872,           0.0097426,           0.0097426,           0.0097426
                  15,            0.048509,            0.021394,            0.018853,             0.86586,             0.50786,             0.57914,             0.30556,            0.040993,            0.012507,             0.01316,           0.0097228,           0.0097228,           0.0097228
                  16,            0.049171,            0.022414,            0.018013,             0.86092,             0.49764,             0.60368,             0.36095,             0.03796,            0.012486,            0.012848,            0.009703,            0.009703,            0.009703
                  17,            0.048257,            0.021999,            0.017448,             0.86938,             0.51547,             0.61531,             0.36866,            0.037752,            0.012049,            0.011977,           0.0096832,           0.0096832,           0.0096832
                  18,            0.048081,            0.021245,            0.016444,             0.81073,             0.55409,             0.63794,             0.39479,            0.036181,            0.011972,            0.011502,           0.0096634,           0.0096634,           0.0096634
                  19,             0.04722,            0.021476,            0.016152,             0.90768,             0.55368,              0.6547,             0.40119,            0.036781,            0.011783,            0.011374,           0.0096436,           0.0096436,           0.0096436
                  20,            0.046159,             0.02167,             0.01593,             0.77393,             0.65366,             0.67537,             0.41351,             0.03667,            0.012162,            0.010647,           0.0096238,           0.0096238,           0.0096238
                  21,            0.046787,            0.022044,            0.015573,              0.8002,             0.60707,             0.72156,             0.44336,            0.036474,            0.011716,            0.010076,            0.009604,            0.009604,            0.009604
                  22,            0.046287,            0.021895,            0.014612,             0.87378,             0.69364,             0.74383,             0.47698,            0.035305,             0.01152,           0.0096271,           0.0095842,           0.0095842,           0.0095842
                  23,            0.046768,            0.021652,            0.014582,             0.86956,             0.68258,              0.7762,             0.49797,            0.034404,            0.011243,            0.009649,           0.0095644,           0.0095644,           0.0095644
                  24,            0.046204,            0.020071,            0.014213,             0.81634,             0.68024,             0.75886,             0.48773,            0.034361,            0.011625,           0.0095991,           0.0095446,           0.0095446,           0.0095446
                  25,            0.044922,            0.020692,             0.01352,             0.85717,              0.7095,             0.76418,             0.49805,            0.034294,            0.011071,           0.0088625,           0.0095248,           0.0095248,           0.0095248
                  26,            0.044686,            0.021479,            0.013448,             0.91994,             0.68883,              0.8166,             0.52708,            0.034481,            0.010945,            0.008327,            0.009505,            0.009505,            0.009505
                  27,            0.045049,            0.020621,            0.013144,             0.69228,             0.79855,             0.85033,             0.55555,            0.033357,            0.010969,           0.0081856,           0.0094852,           0.0094852,           0.0094852
                  28,            0.045187,            0.021134,            0.012878,             0.68533,             0.85088,             0.85451,             0.56238,            0.033734,            0.010792,           0.0078222,           0.0094654,           0.0094654,           0.0094654
                  29,            0.043838,            0.021166,            0.012769,             0.78463,             0.77549,             0.85473,             0.56218,            0.034077,            0.010817,           0.0075921,           0.0094456,           0.0094456,           0.0094456
                  30,            0.044365,            0.020884,            0.012418,             0.75473,             0.82359,             0.87738,             0.59417,            0.033233,            0.010818,           0.0073953,           0.0094258,           0.0094258,           0.0094258
                  31,             0.04332,            0.019983,             0.01174,             0.81224,             0.82587,             0.88982,             0.59436,            0.033114,            0.010755,           0.0069123,            0.009406,            0.009406,            0.009406
                  32,            0.043153,             0.02011,            0.012118,              0.8451,             0.83672,             0.88584,             0.60818,            0.031533,            0.010667,           0.0067262,           0.0093862,           0.0093862,           0.0093862
                  33,            0.044904,            0.021008,             0.01196,             0.82772,              0.8333,             0.89777,             0.58007,            0.033111,            0.010926,           0.0069295,           0.0093664,           0.0093664,           0.0093664
                  34,              0.0425,            0.019379,            0.011215,             0.82278,             0.86728,             0.91816,             0.62416,             0.03189,            0.010472,           0.0063669,           0.0093466,           0.0093466,           0.0093466
                  35,            0.041492,            0.020425,            0.010734,             0.85012,             0.88296,             0.91469,             0.62955,            0.031458,            0.010513,           0.0060864,           0.0093268,           0.0093268,           0.0093268
